id,gameCenterID,title,description,earnedDescription,points,hidden,repeatable,locale,category,target,proposedImageFilename
"stunt.backflip.first","com.daviddemri.crococross.achievement.stunt.backflip.first","Back in Business","Safely land your first backflip.","You safely landed your first backflip.","10","false","false","en-US","stunts","1.0","stunt-backflip-first.png"
"stunt.frontflip.first","com.daviddemri.crococross.achievement.stunt.frontflip.first","Forward Thinking","Safely land your first frontflip.","You safely landed your first frontflip.","10","false","false","en-US","stunts","1.0","stunt-frontflip-first.png"
"stunt.double.landed","com.daviddemri.crococross.achievement.stunt.double.landed","Double Trouble","Safely land two rotations in one jump.","You safely landed two rotations in one jump.","20","false","false","en-US","stunts","1.0","stunt-double-landed.png"
"stunt.triple.landed","com.daviddemri.crococross.achievement.stunt.triple.landed","Triple Threat","Safely land three rotations in one jump.","You safely landed three rotations in one jump.","40","false","false","en-US","stunts","1.0","stunt-triple-landed.png"
"stunt.total.10","com.daviddemri.crococross.achievement.stunt.total.10","Spin Starter","Safely land 10 rotations across your rides.","You safely landed 10 rotations across your rides.","15","false","false","en-US","stunts","10.0","stunt-total-10.png"
"stunt.total.50","com.daviddemri.crococross.achievement.stunt.total.50","Frequent Flyer","Safely land 50 rotations across your rides.","You safely landed 50 rotations across your rides.","30","false","false","en-US","stunts","50.0","stunt-total-50.png"
"stunt.total.100","com.daviddemri.crococross.achievement.stunt.total.100","Spin Legend","Safely land 100 rotations across your rides.","You safely landed 100 rotations across your rides.","60","false","false","en-US","stunts","100.0","stunt-total-100.png"
"stunt.total.250","com.daviddemri.crococross.achievement.stunt.total.250","Spin Doctor","Safely land 250 rotations across your rides.","You safely landed 250 rotations across your rides.","20","false","false","en-US","stunts","250.0","stunt-total-250.png"
"stunt.total.500","com.daviddemri.crococross.achievement.stunt.total.500","Gyro Hero","Safely land 500 rotations across your rides.","You safely landed 500 rotations across your rides.","25","false","false","en-US","stunts","500.0","stunt-total-500.png"
"stunt.total.1000","com.daviddemri.crococross.achievement.stunt.total.1000","Rotation Royalty","Safely land 1,000 rotations across your rides.","You safely landed 1,000 rotations across your rides.","30","false","false","en-US","stunts","1000.0","stunt-total-1000.png"
"stunt.total.2500","com.daviddemri.crococross.achievement.stunt.total.2500","Spin Cyclone","Safely land 2,500 rotations across your rides.","You safely landed 2,500 rotations across your rides.","40","false","false","en-US","stunts","2500.0","stunt-total-2500.png"
"stunt.total.5000","com.daviddemri.crococross.achievement.stunt.total.5000","Orbit Breaker","Safely land 5,000 rotations across your rides.","You safely landed 5,000 rotations across your rides.","50","false","false","en-US","stunts","5000.0","stunt-total-5000.png"
"stunt.total.10000","com.daviddemri.crococross.achievement.stunt.total.10000","Spin Immortal","Safely land 10,000 rotations across your rides.","You safely landed 10,000 rotations across your rides.","70","false","false","en-US","stunts","10000.0","stunt-total-10000.png"
"endless.distance.1000","com.daviddemri.crococross.achievement.endless.distance.1000","1 km Club","Ride 1 km in one Endless run.","You rode 1 km in one Endless run.","10","false","false","en-US","distance","1000.0","endless-distance-1000.png"
"endless.distance.2000","com.daviddemri.crococross.achievement.endless.distance.2000","2 km Club","Ride 2 km in one Endless run.","You rode 2 km in one Endless run.","10","false","false","en-US","distance","2000.0","endless-distance-2000.png"
"endless.distance.3000","com.daviddemri.crococross.achievement.endless.distance.3000","3 km Club","Ride 3 km in one Endless run.","You rode 3 km in one Endless run.","10","false","false","en-US","distance","3000.0","endless-distance-3000.png"
"endless.distance.4000","com.daviddemri.crococross.achievement.endless.distance.4000","4 km Club","Ride 4 km in one Endless run.","You rode 4 km in one Endless run.","10","false","false","en-US","distance","4000.0","endless-distance-4000.png"
"endless.distance.5000","com.daviddemri.crococross.achievement.endless.distance.5000","5 km Club","Ride 5 km in one Endless run.","You rode 5 km in one Endless run.","10","false","false","en-US","distance","5000.0","endless-distance-5000.png"
"endless.distance.6000","com.daviddemri.crococross.achievement.endless.distance.6000","6 km Club","Ride 6 km in one Endless run.","You rode 6 km in one Endless run.","10","false","false","en-US","distance","6000.0","endless-distance-6000.png"
"endless.distance.7000","com.daviddemri.crococross.achievement.endless.distance.7000","7 km Club","Ride 7 km in one Endless run.","You rode 7 km in one Endless run.","10","false","false","en-US","distance","7000.0","endless-distance-7000.png"
"endless.distance.8000","com.daviddemri.crococross.achievement.endless.distance.8000","8 km Club","Ride 8 km in one Endless run.","You rode 8 km in one Endless run.","10","false","false","en-US","distance","8000.0","endless-distance-8000.png"
"endless.distance.9000","com.daviddemri.crococross.achievement.endless.distance.9000","9 km Club","Ride 9 km in one Endless run.","You rode 9 km in one Endless run.","10","false","false","en-US","distance","9000.0","endless-distance-9000.png"
"endless.distance.10000","com.daviddemri.crococross.achievement.endless.distance.10000","10 km Club","Ride 10 km in one Endless run.","You rode 10 km in one Endless run.","10","false","false","en-US","distance","10000.0","endless-distance-10000.png"
"endless.distance.11000","com.daviddemri.crococross.achievement.endless.distance.11000","11 km Club","Ride 11 km in one Endless run.","You rode 11 km in one Endless run.","10","false","false","en-US","distance","11000.0","endless-distance-11000.png"
"endless.distance.12000","com.daviddemri.crococross.achievement.endless.distance.12000","12 km Club","Ride 12 km in one Endless run.","You rode 12 km in one Endless run.","10","false","false","en-US","distance","12000.0","endless-distance-12000.png"
"endless.distance.13000","com.daviddemri.crococross.achievement.endless.distance.13000","13 km Club","Ride 13 km in one Endless run.","You rode 13 km in one Endless run.","10","false","false","en-US","distance","13000.0","endless-distance-13000.png"
"endless.distance.14000","com.daviddemri.crococross.achievement.endless.distance.14000","14 km Club","Ride 14 km in one Endless run.","You rode 14 km in one Endless run.","10","false","false","en-US","distance","14000.0","endless-distance-14000.png"
"endless.distance.15000","com.daviddemri.crococross.achievement.endless.distance.15000","15 km Club","Ride 15 km in one Endless run.","You rode 15 km in one Endless run.","10","false","false","en-US","distance","15000.0","endless-distance-15000.png"
"endless.distance.20000","com.daviddemri.crococross.achievement.endless.distance.20000","20 km Club","Ride 20 km in one Endless run.","You rode 20 km in one Endless run.","20","false","false","en-US","distance","20000.0","endless-distance-20000.png"
"endless.distance.25000","com.daviddemri.crococross.achievement.endless.distance.25000","25 km Club","Ride 25 km in one Endless run.","You rode 25 km in one Endless run.","25","false","false","en-US","distance","25000.0","endless-distance-25000.png"
"endless.distance.30000","com.daviddemri.crococross.achievement.endless.distance.30000","30 km Club","Ride 30 km in one Endless run.","You rode 30 km in one Endless run.","30","false","false","en-US","distance","30000.0","endless-distance-30000.png"
"endless.distance.35000","com.daviddemri.crococross.achievement.endless.distance.35000","35 km Club","Ride 35 km in one Endless run.","You rode 35 km in one Endless run.","35","false","false","en-US","distance","35000.0","endless-distance-35000.png"
"endless.distance.40000","com.daviddemri.crococross.achievement.endless.distance.40000","40 km Club","Ride 40 km in one Endless run.","You rode 40 km in one Endless run.","40","false","false","en-US","distance","40000.0","endless-distance-40000.png"
"endless.distance.45000","com.daviddemri.crococross.achievement.endless.distance.45000","45 km Club","Ride 45 km in one Endless run.","You rode 45 km in one Endless run.","45","false","false","en-US","distance","45000.0","endless-distance-45000.png"
"endless.distance.50000","com.daviddemri.crococross.achievement.endless.distance.50000","50 km Club","Ride 50 km in one Endless run.","You rode 50 km in one Endless run.","50","false","false","en-US","distance","50000.0","endless-distance-50000.png"
"weekly.finish.1","com.daviddemri.crococross.achievement.weekly.finish.1","Checkered Flag","Finish your first Weekly course.","You finished your first Weekly course.","20","false","false","en-US","weekly","1.0","weekly-finish-1.png"
"weekly.finish.5","com.daviddemri.crococross.achievement.weekly.finish.5","Regular Finisher","Finish five Weekly runs.","You finished five Weekly runs.","40","false","false","en-US","weekly","5.0","weekly-finish-5.png"
"weekly.finish.10","com.daviddemri.crococross.achievement.weekly.finish.10","Weekly Legend","Finish ten Weekly runs.","You finished ten Weekly runs.","75","false","false","en-US","weekly","10.0","weekly-finish-10.png"
"unlock.rider.shiba","com.daviddemri.crococross.achievement.unlock.rider.shiba","Good Dog, Great Ride","Unlock Kenji.","You unlocked Kenji.","25","false","false","en-US","collection","1.0","unlock-rider-shiba.png"
"unlock.world.japan","com.daviddemri.crococross.achievement.unlock.world.japan","Mountain Passport","Unlock Japan Mountains.","You unlocked Japan Mountains.","25","false","false","en-US","collection","1.0","unlock-world-japan.png"
